Station_Name,Station_Number,Source,Latitude,Longitude,Time_Available,Data_Available,Frequency,Notes
Cass_Hourly,44637,UC,-43.03447,171.75999,"1997-01-01 01:00:00, 2021-01-01 00:00:00","['Time', 'Li190', 'Li200', 'Air_Temp', '10cm_Soil_Temp', '20cm_Soil_Temp', '50cm_Soil_Temp', 'Rel_Humidity', '10cm_Soil_Moisture', '20cm_Soil_Moisture', '50cm_Soil_Moisture', 'Wind_Speed', 'Wind_Dir', 'Air_Temp_Min', '10cm_Soil_Temp_Min', '20cm_Soil_Temp_Min', '50cm_Soil_Temp_Min', 'Rel_Humidity_Min', '10cm_Soil_Moisture_Min', '20cm_Soil_Moisture_Min', '50cm_Soil_Moisture_Min', 'Wind_Speed_Min', 'Li190_Max', 'Li200_Max', 'Air_temp_Max', '10cm_Soil_Temp_Max', '20cm_Soil_Temp_Max', '50cm_Soil_Temp_Max', 'Rel_Humidity_Max', '10cm_Soil_Moisture_Max', '20cm_Soil_Moisture_Max', '50cm_Soil_Moisture_Max', 'Wind_Speed_Max', 'Windrun', 'Gust_Speed', 'Gust_Dir', 'Wind_Speed_2', 'Wind_Dir_2', 'Wind_Dir_STD', 'Ground_Temp', 'Ground_Temp_Min', 'Ground_Temp_Max', 'Air_Temp_10Day', 'Rel_Humidity_10Day', 'Wind_Speed_10Day', 'Wind_Dir_10Day', 'Rain', 'BatVolt']",Hourly,
CarringtonRain_Daily,310510,Ecan,-42.96285629,171.4485169,"1989-01-01 00:00:00, 2023-01-01 00:00:00","['Time', 'Rain']",Daily,
EskRain_Daily,311910,Ecan,-43.11771774,171.9630432,"1990-01-01 00:00:00, 2023-01-01 00:00:00","['Time', 'Rain']",Daily,
ArthursRain_Daily,219510,Ecan,-42.94159698,171.5629883,"1955-01-01 00:00:00, 2023-01-01 00:00:00","['Time', 'Rain']",Daily,
GrasmereRain_Daily,311810,Ecan,-43.05627823,171.7677612,"1985-01-01 00:00:00, 2023-01-01 00:00:00","['Time', 'Rain']",Daily,
MtWhiteRain_Daily,,Cliflo,-43.054,171.936,"1950-01-01 09:00:00, 2005-01-01 09:00:00","['Time', 'Rain']",Daily ,
HarperRiverTemps_Daily,4657,Cliflo,-43.213,171.461,"1987-01-01 08:00:00, 2009-01-01 08:00:00","['Time', 'Air_Temp', 'Rel_Humidity', 'Air_Temp_Min', 'Air_Temp_Max']",Daily,
OtiraRain_Daily,4001,Cliflo,-42.833,171.563,,,Daily,
OtiraTemps_Daily,4001,Cliflo,-42.833,171.563,"1973-01-01 09:00:00, 1988-01-01 09:00:00","['Time', 'Air_Temp', 'Rel_Humidity', 'Air_Temp_Min', 'Air_Temp_Max']",Daily,
MtPhilistineEWSCombined_Daily,38103,Cliflo,-42.88314,171.53229,"2010-01-01 00:00:00, 2023-01-01 00:00:00","['Time', 'Air_Temp', 'Air_Temp_Min', 'Air_Temp_Max', 'Rain']",Daily,
MtPhilistineTemps_Daily,38103,Cliflo,-42.88314,171.53229,"2010-01-01 09:00:00, 2023-01-01 09:00:00","['Time', 'Air_Temp', 'Rel_Humidity', 'Air_Temp_Min', 'Air_Temp_Max']",Daily,
